mcc_group,bridge_type,lvl1,weight,notes
Автотовары,specialty,Автомобильные товары и запчасти,1.0,прямое
Аптеки,specialty,Аптека,0.5,мало ml в эталонах QNF
Аптеки,specialty,Бады и Витамины,0.3,
Аптеки,specialty,Гигиена,0.2,частично пересекается с beauty
Зоомагазины,specialty,Продукция для животных,1.0,
Игрушки,specialty,Детские товары,1.0,в эталонах игрушки внутри Детские товары
Канцтовары,specialty,"Книги, хобби, канцелярия",0.5,делим с книжными
Книжные магазины,specialty,"Книги, хобби, канцелярия",0.5,
Бытовая техника и электроника,specialty,Бытовая техника и Электроника,0.5,
Бытовая техника и электроника,specialty,Компьютеры и аксессуары,0.25,
Бытовая техника и электроника,specialty,Смартфоны и гаджеты,0.25,
Косметика,specialty,Уход,0.5,
Косметика,specialty,Парфюмерия и декоративная косметика,0.4,
Косметика,specialty,Детская гигиена и уход,0.1,
Мебель,specialty,Мебель,1.0,
Обувь,specialty,Обувь,1.0,
Одежда детская,specialty,Одежда,0.4,грубый прокси; уточнить по lvl2
Одежда детская,specialty,Детские товары,0.4,
Одежда детская,specialty,Детская гигиена и уход,0.2,
Одежда для взрослых,specialty,Одежда,0.7,
Одежда для взрослых,specialty,Аксессуары,0.3,
Спортивные товары,specialty,Спорт и активный отдых,1.0,
Товары для дома,specialty,Товары для дома,0.5,
Товары для дома,specialty,Бытовая химия,0.2,
Товары для дома,specialty,Ремонт и обустройство дома,0.1,
Товары для дома,specialty,Строительство и ремонт,0.1,
Товары для дома,specialty,Посуда и кухонные принадлежности,0.1,
Продуктовые магазины,grocery,Бакалея,1.0,"food ml1 (FOODZOO/FMCG; не specialty)"
Продуктовые магазины,grocery,Безалкогольные напитки,1.0,food ml1
Продуктовые магазины,grocery,Детское питание,1.0,food ml1
Продуктовые магазины,grocery,Кондитерские изделия,1.0,food ml1
Продуктовые магазины,grocery,Консервированные продукты,1.0,food ml1
Продуктовые магазины,grocery,"Кофе, какао",1.0,food ml1
Продуктовые магазины,grocery,Молочная продукция,1.0,food ml1
Продуктовые магазины,grocery,Мучные кондитерские изделия,1.0,food ml1
Продуктовые магазины,grocery,Снэки,1.0,food ml1
Продуктовые магазины,grocery,Специальное питание,1.0,food ml1
Продуктовые магазины,grocery,Табачные изделия,1.0,food ml1
Продуктовые магазины,grocery,Чай,1.0,food ml1
Маркетплейсы,channel,,0,ось Where: канал-субститут
