mega,mcc_group,weight,role,notes
Готовлю дома,Продуктовые магазины,1.0,primary,
Гости и праздник,Продуктовые магазины,1.0,primary,
Пикник и отдых,Продуктовые магазины,0.8,primary,
Готовая еда,Продуктовые магазины,1.0,primary,
Дача,Продуктовые магазины,0.5,secondary,
Дача,Товары для дома,0.4,secondary,
Дети,Игрушки,0.5,primary,
Дети,Одежда детская,0.4,primary,
Малыши,Игрушки,0.3,secondary,
Малыши,Одежда детская,0.3,secondary,
Малыши,Аптеки,0.2,secondary,
Питомцы,Зоомагазины,1.0,primary,
Красота,Косметика,1.0,primary,
Здоровье,Аптеки,1.0,primary,
Дом и быт,Товары для дома,0.7,primary,
Дом и быт,Мебель,0.3,secondary,
Гостиная,Бытовая техника и электроника,0.5,primary,"ТВ/саундбар/наушники: «Домашний кинотеатр» ≈93% GMV меги"
Гостиная,Товары для дома,0.3,primary,декор/атмосфера
Гостиная,Мебель,0.2,secondary,
Кухня,Товары для дома,0.5,primary,посуда+расходники (вторая сцена)
Кухня,Бытовая техника и электроника,0.3,secondary,"крупная техника в «Обустройство кухни с нуля» (~42% GMV меги)"
Кухня,Мебель,0.2,secondary,
Ванная,Товары для дома,0.45,primary,
Ванная,Косметика,0.3,secondary,
Ванная,Бытовая техника и электроника,0.15,secondary,стиралка/водонагреватель в обустройстве с нуля
Спальня,Товары для дома,0.4,primary,
Спальня,Мебель,0.4,primary,
Детская,Игрушки,0.4,primary,
Детская,Товары для дома,0.3,secondary,
Детская,Мебель,0.3,secondary,
Прихожая,Товары для дома,0.6,primary,
Домашний офис,Бытовая техника и электроника,0.5,primary,мониторы/ПК/периферия — ядро сценария
Домашний офис,Мебель,0.3,secondary,стол/кресло
Домашний офис,Товары для дома,0.2,secondary,органайзеры/канцелярия
Авто,Автотовары,1.0,primary,
Спорт,Спортивные товары,1.0,primary,
Гардероб,Одежда для взрослых,0.7,primary,
Гардероб,Обувь,0.3,secondary,
Подарки,Маркетплейсы,0.4,channel,
Подарки,Игрушки,0.3,secondary,
Подарки,Косметика,0.3,secondary,
Эмоции,Продуктовые магазины,0.5,secondary,
Эмоции,Косметика,0.3,secondary,
Работа и учеба,Канцтовары,0.5,primary,
Работа и учеба,Книжные магазины,0.5,primary,
Стирка,Товары для дома,0.8,primary,химия/уход — не техника
Срочно нужно сейчас,Продуктовые магазины,0.5,secondary,
Срочно нужно сейчас,Аптеки,0.3,secondary,
