ml4,ml4_n,gmv,n_order_ml4_rows
Блюда с птицей,блюда с птицей,3190525833.399996,9875094
Энергетические напитки,энергетические напитки,3166783086.349995,14886299
Чипсы картофельные обычные,чипсы картофельные обычные,2990514996.5200014,13751714
Мороженое порционное,мороженое порционное,2951962105.6200037,13370263
"Газированные напитки от 0,8л","газированные напитки от 0,8л",2639580906.8300004,16509207
Молоко пастеризованное,молоко пастеризованное,2061168490.3500035,16431573
Яйцо готовое прочее куриное,яйцо готовое прочее куриное,1711823814.0999994,11706245
Огурцы,огурцы,1542748943.2500005,7063561
Филе куриное охлажденное,филе куриное охлажденное,1496578352.3800008,3632787
Замороженные закуски,замороженные закуски,1452490779.12,6252136
Салаты с майонезом,салаты с майонезом,1443620467.6800003,5867203
Прочие твердые сычужные сыры,прочие твердые сычужные сыры,1353210040.2199996,5429020
Сосиски,сосиски,1327040085.1099997,5749800
"Соки и нектары более 0,5л и до 1,5л","соки и нектары более 0,5л и до 1,5л",1314042877.5699992,5811675
"Батончики шоколадные, нуга","батончики шоколадные, нуга",1239289760.2700038,8958736
Вязкие пастеризованные йогурты,вязкие пастеризованные йогурты,1089634942.519999,7748065
Многослойная сухая туалетная бумага,многослойная сухая туалетная бумага,1078157495.3699994,4155346
Шоколад молочный,шоколад молочный,1047958813.7199998,5215263
Вареные колбасы,вареные колбасы,1043848306.4499998,4902420
"Негазированные питьевые воды от 0,8л до 3л","негазированные питьевые воды от 0,8л до 3л",1033814956.8299998,5660182
Негазированные питьевые воды от 3л,негазированные питьевые воды от 3л,1033630733.9599999,6427680
Масло сливочное,масло сливочное,988995351.0899999,4303658
"Газированные напитки менее 0,8л","газированные напитки менее 0,8л",963127634.7200003,5325674
Охлажденная выпечка сытная,охлажденная выпечка сытная,950906444.9199996,5011333
Томаты свежие черри,томаты свежие черри,946050485.5099996,3676379
Бананы,бананы,945652477.8299993,5154245
"Мороженое ведро, ванна вкусовое","мороженое ведро, ванна вкусовое",938596885.0499997,1802262
Лапша порционная,лапша порционная,931799692.18,5634229
