mission,mega,sub,ml4,ml4_n,gmv,n_alloc_rows,n_orders
Пикник и отдых → Автопутешествие,Пикник и отдых,Автопутешествие,Энергетические напитки,энергетические напитки,1134114984.4933298,9741938.0,9741938.0
Готовлю дома → Завтрак выходного дня,Готовлю дома,Завтрак выходного дня,Мороженое порционное,мороженое порционное,536200380.1555653,10225466.0,10225466.0
Дети → После школы,Дети,После школы,Мороженое порционное,мороженое порционное,506500217.692668,10644851.0,10644851.0
Работа и учеба → Ночная смена / дедлайн,Работа и учеба,Ночная смена / дедлайн,Энергетические напитки,энергетические напитки,433374157.67333347,5414078.0,5414078.0
Пикник и отдых → Отдых на пляже,Пикник и отдых,Отдых на пляже,Энергетические напитки,энергетические напитки,416599314.59833336,4849141.0,4849141.0
Готовлю дома → Ужин после работы,Готовлю дома,Ужин после работы,Блюда с птицей,блюда с птицей,368210599.26726913,9025667.0,9025667.0
Гости и праздник → Вечеринка дома,Гости и праздник,Вечеринка дома,"Газированные напитки от 0,8л","газированные напитки от 0,8л",359674796.03429407,11141146.0,11141146.0
Пикник и отдых → Автопутешествие,Пикник и отдых,Автопутешествие,Блюда с птицей,блюда с птицей,336747748.93672997,8745077.0,8745077.0
Гости и праздник → Вечеринка дома,Гости и праздник,Вечеринка дома,Блюда с птицей,блюда с птицей,327002245.2924193,8788093.0,8788093.0
Готовлю дома → Завтрак буднего дня,Готовлю дома,Завтрак буднего дня,Блюда с птицей,блюда с птицей,325727263.388633,7672762.0,7672762.0
Дом и быт → Пополнение запасов,Дом и быт,Пополнение запасов,Многослойная сухая туалетная бумага,многослойная сухая туалетная бумага,324935973.3137008,3579361.0,3579361.0
Готовлю дома → Ужин после работы,Готовлю дома,Ужин после работы,Огурцы,огурцы,318805956.88365954,6690388.0,6690388.0
Гости и праздник → Гости через час,Гости и праздник,Гости через час,Блюда с птицей,блюда с птицей,317519995.66975194,8625822.0,8625822.0
Готовлю дома → Ужин после работы,Готовлю дома,Ужин после работы,Филе куриное охлажденное,филе куриное охлажденное,312155582.59623766,3236770.0,3236770.0
Готовлю дома → Завтрак выходного дня,Готовлю дома,Завтрак выходного дня,Круассаны со сладкой начинкой,круассаны со сладкой начинкой,308486892.22999996,1335434.0,1335434.0
Дети → После школы,Дети,После школы,Многослойная сухая туалетная бумага,многослойная сухая туалетная бумага,306470339.5122723,3344910.0,3344910.0
Гости и праздник → Смотрим матч,Гости и праздник,Смотрим матч,Блюда с птицей,блюда с птицей,304354808.0711671,8556429.0,8556429.0
Гости и праздник → Хэллоуин дома,Гости и праздник,Хэллоуин дома,Блюда с птицей,блюда с птицей,289379908.1055467,8278150.0,8278150.0
Авто → Автопутешествие с семьёй,Авто,Автопутешествие с семьёй,Блюда с птицей,блюда с птицей,286057547.8160226,8108121.0,8108121.0
Готовлю дома → Быстрый ужин из полуфабрикатов,Готовлю дома,Быстрый ужин из полуфабрикатов,Блюда с птицей,блюда с птицей,279640910.703248,8109460.0,8109460.0
Готовлю дома → Ужин после работы,Готовлю дома,Ужин после работы,Пельменная продукция,пельменная продукция,267805893.41499996,1346613.0,1346613.0
Гости и праздник → Гости через час,Гости и праздник,Гости через час,Огурцы,огурцы,262525002.28032753,6208307.0,6208307.0
Пикник и отдых → Автопутешествие,Пикник и отдых,Автопутешествие,"Газированные напитки от 0,8л","газированные напитки от 0,8л",258163158.08001322,10274983.0,10274983.0
Дача → Выходные на даче,Дача,Выходные на даче,Огурцы,огурцы,254418697.0746603,6228560.0,6228560.0
Готовая еда → Готовая еда,Готовая еда,Готовая еда,Блюда с птицей,блюда с птицей,249634406.84933937,7596801.0,7596801.0
Гости и праздник → Детский праздник,Гости и праздник,Детский праздник,Мороженое порционное,мороженое порционное,249529468.33605933,8105490.0,8105490.0
Дача → Шашлыки,Дача,Шашлыки,Огурцы,огурцы,246394170.602494,6114392.0,6114392.0
Дети → День рождения ребенка,Дети,День рождения ребенка,Мороженое порционное,мороженое порционное,242399144.28942075,7959484.0,7959484.0
Эмоции → Утешение сладким,Эмоции,Утешение сладким,Мороженое порционное,мороженое порционное,234912076.0774943,5381321.0,5381321.0
Дом и быт → Пополнение запасов,Дом и быт,Пополнение запасов,Жидкие средства для стирки,жидкие средства для стирки,233212117.099,716160.0,716160.0
Дети → После школы,Дети,После школы,Чипсы картофельные обычные,чипсы картофельные обычные,233060778.0524182,10476612.0,10476612.0
Гости и праздник → Просмотр фильма,Гости и праздник,Просмотр фильма,Мороженое порционное,мороженое порционное,233000969.79668385,7595688.0,7595688.0
Гости и праздник → Семейный ужин,Гости и праздник,Семейный ужин,Огурцы,огурцы,227692328.35616136,5798486.0,5798486.0
Дети → После школы,Дети,После школы,Лапша порционная,лапша порционная,227634471.11899778,4471744.0,4471744.0
Дом и быт → Пополнение запасов,Дом и быт,Пополнение запасов,Чипсы картофельные обычные,чипсы картофельные обычные,217553921.36527625,9176332.0,9176332.0
Гости и праздник → Гости через час,Гости и праздник,Гости через час,Сыры плавленые в нарезке,сыры плавленые в нарезке,216775146.95,1326710.0,1326710.0
Дом и быт → Пополнение запасов,Дом и быт,Пополнение запасов,Прокладки,прокладки,215749399.54250002,1321567.0,1321567.0
Готовлю дома → Ужин после работы,Готовлю дома,Ужин после работы,Лапша порционная,лапша порционная,215307703.2498314,4516654.0,4516654.0
Пикник и отдых → Тренировка / фитнес,Пикник и отдых,Тренировка / фитнес,Энергетические напитки,энергетические напитки,214931229.42499995,3258831.0,3258831.0
Гости и праздник → Детский праздник,Гости и праздник,Детский праздник,"Газированные напитки от 0,8л","газированные напитки от 0,8л",212901364.46789974,9667017.0,9667017.0
Гости и праздник → Смотрим матч,Гости и праздник,Смотрим матч,"Газированные напитки импортных брендов менее 0,8л","газированные напитки импортных брендов менее 0,8л",211882789.86,1097107.0,1097107.0
Гости и праздник → Гости через час,Гости и праздник,Гости через час,Лапша порционная,лапша порционная,211623463.17149812,4303595.0,4303595.0
Гости и праздник → Смотрим матч,Гости и праздник,Смотрим матч,"Газированные напитки от 0,8л","газированные напитки от 0,8л",210053438.70008618,9139404.0,9139404.0
Готовлю дома → Ужин после работы,Готовлю дома,Ужин после работы,Молоко пастеризованное,молоко пастеризованное,209752724.6934253,14488128.0,14488128.0
Дети → День рождения ребенка,Дети,День рождения ребенка,"Газированные напитки от 0,8л","газированные напитки от 0,8л",208991357.16961417,9573206.0,9573206.0
Готовлю дома → Ужин на двоих,Готовлю дома,Ужин на двоих,Огурцы,огурцы,208396634.9226651,5172359.0,5172359.0
Готовлю дома → Ужин после работы,Готовлю дома,Ужин после работы,Замороженные закуски,замороженные закуски,207312896.63597456,4728704.0,4728704.0
Гости и праздник → Вечеринка дома,Гости и праздник,Вечеринка дома,Чипсы картофельные обычные,чипсы картофельные обычные,207241147.4416958,10198428.0,10198428.0
